Sl. No.,Name of the Road,Specific location,Date,Frequency,latitude,longitude
1.0,Africa Avenue Road,Both carriageway Madhav Rao Schindia Marg,['01.09.2021'],1,28.5592935,77.1875469
2.0,Akbar Road,"C-Hexagon, Akbar Road",['28.07.2021'],1,28.6026044,77.2082953
3.0,Anuvrat Marg,Lado Sarai towards City Hospital,['13.07.2021'],1,28.5162104,77.1882116
4.0,Anuvrat Marg,Near 100 Foota Road,['01.09.2021'],1,28.6277304,77.342308
5.0,Ashok Vihar Road,Near Bartan Market towards Ashok Vihar,['11.09.2021'],1,28.6915549,77.1771146
6.0,Ashoka Road,Buta Singh Roundabout,['31.08.2021'],1,28.6225114,77.2142253
7.0,Ashoka Road,Gurudwara Bangla Sahib Bus Stand,['08.08.2021'],1,28.6225114,77.2142253
8.0,Ashoka Road,Near C-Hexagon,['11.09.2021'],1,28.6225114,77.2142253
9.0,Astha Kunj Road,Near EROS Mall,['11.09.2021'],1,28.6120711,77.0325062
10.0,Aurobindo Marg,AIIMS towards Barapulla Flyover,['29.07.2021'],1,28.575792,77.2097835
11.0,Aurobindo Marg,IIT towards Mother International School,"['13.07.2021', '31.08.2021']",2,28.575792,77.2097835
12.0,Aurobindo Marg,INA Towards AIIMS Underpass,"['29.07.2021', '21.08.2021', '11.09.2021']",3,28.575792,77.2097835
13.0,Aurobindo Marg,Near Adhchini towards MMTC,['31.08.2021'],1,28.575792,77.2097835
14.0,Aurobindo Marg,Near Adhchini Village,['11.09.2021'],1,28.575792,77.2097835
15.0,Aurobindo Marg,Near IIT / Adhchini Redlight,"['13.07.2021', '19.07.2021', '21.08.2021', '11.09.2021']",4,28.575792,77.2097835
16.0,Aurobindo Marg,Near Malviya Nagar Metro Station,['11.09.2021'],1,28.575792,77.2097835
17.0,Aurobindo Marg,PTS Malviya Nagar Redlight,['08.08.2021'],1,28.575792,77.2097835
18.0,Aurobindo Marg,PTS towards Adhchini,['13.07.2021'],1,28.575792,77.2097835
19.0,Banda Bahadur Marg,Near Batra Cinema,['14.07.2021'],1,28.7048735,77.2114593
20.0,Bawana Road,Near Bawana Village,['11.09.2021'],1,28.7645456,77.0549596
21.0,Bhairon Marg,Near Bhairon Mandir,['11.09.2021'],1,28.6126948,77.2494221
22.0,Boulevard Road,Infront of Tis Hazari Court,['11.09.2021'],1,28.6665963,77.217998
23.0,Boulevard Road,Infront of Tis Hazari Metro Station,"['01.08.2021', '01.09.2021']",2,28.6665963,77.217998
24.0,BSZ Marg,ITO Chowk,['21.08.2021'],1,28.6281634,77.246897
25.0,Choudhary Fateh Singh Marg,Near P.S. Timarpur (both carriageway) / Wazirabad Road to Mall Road,"['29.07.2021', '01.08.2021']",2,28.7012628,77.2186795
26.0,Dabri Flyover,On the loop of the flyover coming from Dabri side,['13.07.2021'],1,28.6132255,77.0875704
27.0,DDU Marg (Deen Dayal Upadhyay Marg),W-Point,['31.08.2021'],1,28.6327506,77.2328993
28.0,Dr. Bhim Rao Ambedkar Road,"Bhim Gali, Malkaganj","['01.08.2021', '01.09.2021']",2,28.6653985,77.2951036
29.0,Drain Road (Dabri-Dwarka),Drain Road at various locations between Power House and Dabri roundabout,['13.07.2021'],1,28.61251665,77.0558246
30.0,Dwarka Link Road,Dwarka Underpass,"['13.07.2021', '19.07.2021', '11.09.2021']",3,28.5747046,77.119109
31.0,Dwarka Road,Hanuman Mandir near Palam flyover  / Towards Palam flyover from IOC Sadar Bazar,"['13.07.2021', '19.07.2021', '31.08.2021', '01.09.2021', '11.09.2021']",5,28.5747046,77.119109
32.0,Dwarka Road,Kirbi Place,['19.07.2021'],1,28.5747046,77.119109
33.0,Dwarka Road,Road No. 224 & 210 Near Jal Board Booster pump,['01.09.2021'],1,28.5747046,77.119109
34.0,Dwarka Road,"Sector-1, Dwarka Slip Road",['11.09.2021'],1,28.5747046,77.119109
35.0,Girdhari Lal Goswami Marg,--,['21.08.2021'],1,28.6387617,77.1431242
36.0,Girdhari Lal Goswami Marg,Near Post Office Naraina,['11.09.2021'],1,28.6387617,77.1431242
37.0,GT Road / Old GT Road,Between Dharampura and Iron Bridge / near Iron Bridge,"['03.07.2021', '14.07.2021', '19.07.2021', '29.07.2021', '01.08.2021']",5,28.6538979,77.2318096
38.0,GT Road / Old GT Road,Dharampura Seelampur,"['19.07.2021', '28.07.2021']",2,28.6698165,77.2668137
39.0,GT Road / Old GT Road,Near Seelampur Flyover  (Shastri Park to Shahdara carriageway) / On the foot of Seelampur Flyover (ISBT to Apsara Border carriageway),"['03.07.2021', '19.07.2021', '28.07.2021', '30.07.2021', '01.08.2021']",5,28.671372166666668,77.27195053333332
40.0,GT Road / Old GT Road,Near Welcome Metro Station towards Shyam Lal College both carriageway / near Shyam Lal College,['01.08.2021'],1,28.6718164,77.2776882
41.0,GT Road / Old GT Road,Shahdara Mandi,['01.08.2021'],1,28.6758661,77.2985078
42.0,GT Road / Old GT Road,Shastri Park to Shahdara carriageway,['14.07.2021'],1,28.672150000000002,77.27451895
43.0,GTK Road,Azad Pur underpass,"['13.07.2021', '14.07.2021', '01.08.2021', '11.09.2021']",4,28.7057821,77.1819488
44.0,GTK Road,Jahangirpuri both carriageway,['14.07.2021'],1,28.6964486,77.1842968
45.0,GTK Road,Libaspur Underpass,['11.09.2021'],1,28.7534267,77.142996
46.0,GTK Road,Near GTK DTC Depot,"['03.09.2021', '11.09.2021']",2,28.6327301,77.2073057
47.0,GTK Road,Near Jahangir Puri Metro Station,['11.09.2021'],1,28.7301654,77.1679057
48.0,GTK Road,Shakti Nagar underpass,['01.08.2021'],1,28.6793047,77.19448
49.0,Hardev Sahai Road,Near Kashmere Gate Metro Station,"['01.08.2021', '11.09.2021']",2,28.6672051,77.2163975
50.0,Inder Chandra Shastri Marg,Shakti Nagar Chowk,['14.07.2021'],1,28.6815955,77.198412
51.0,Kanjhawala – Bawana Road,Near Kanjhawala Chowk,['13.09.2021'],1,28.7972131,77.0304395
52.0,Kanjhawala Road,Cygnus Hospital to Karala Chowk,['19.07.2021'],1,28.6977366,77.0979839
53.0,Kautilaya Marg,R/A Samrat Hotel Chanakya Puri,"['19.05.2021', '01.09.2021']",2,28.5967897,77.1981763
54.0,Kemal Attaturk Marg,Near Bhinder Point,['11.09.2021'],1,28.5973513,77.2110967
55.0,Khadak Singh Marg,Near GPO,['31.08.2021'],1,28.6269424,77.206645
56.0,Khera Road,Near Khera Village Redlight,['11.09.2021'],1,28.7660219,77.1237303
57.0,Krishna Manan Marg,A-Block,['31.08.2021'],1,28.5522406,77.1625995
58.0,Lala Lajpat Rai Marg,Near Central School Greater Kailash,['29.07.2021'],1,28.5529995,77.2453159
59.0,Lala Lajpat Rai Marg,Near Lodhi Flyover both side,['13.07.2021'],1,28.5529995,77.2453159
60.0,Lala Lajpat Rai Marg,Near Moolchand Bus Stand,['11.09.2021'],1,28.5529995,77.2453159
61.0,Lala Lajpat Rai Marg,Near Moolchand Hospital,['31.08.2021'],1,28.5529995,77.2453159
62.0,Lampur – Narela Road,Lampur Underpass,['11.09.2021'],1,28.8511615,77.0644496
63.0,Lodhi Road,Near Bhishm Pitamah crossing,['31.08.2021'],1,28.589425,77.2129011
64.0,M.B. Road (Mehrauli – Badarpur Road),Asian Market Khanpur M.B. Road,"['19.07.2021', '13.09.2021']",2,28.5054709,77.2764802
65.0,M.B. Road (Mehrauli – Badarpur Road),Khanpur T-Point to Hamdard T-Point both carriageway / Near RPS Colony Khanpur towards Badarpur Carriageway / Vayusenabad and Tigri on Khanpur to Badarpur carriageway,"['29.07.2021', '30.07.2021', '08.08.2021']",3,28.5054709,77.2764802
66.0,M.B. Road (Mehrauli – Badarpur Road),Near Batra Hospital,['13.09.2021'],1,28.5054709,77.2764802
67.0,M.B. Road (Mehrauli – Badarpur Road),Near Saket Metro Station,['31.08.2021'],1,28.5054709,77.2764802
68.0,M.B. Road (Mehrauli – Badarpur Road),Near Sangam Vihar Redlight both carriageway,['11.09.2021'],1,28.5726765,77.1733639
69.0,M.B. Road (Mehrauli – Badarpur Road),Pul Prahladpur Underpass,"['13.07.2021', '19.07.2021', '30.07.2021', '08.08.2021', '21.08.2021', '31.08.2021', '11.09.2021']",7,28.5054709,77.2764802
70.0,M.B. Road (Mehrauli – Badarpur Road),Sainik Farm Gali No. 2 Cariappa Marg,['13.07.2021'],1,28.5054709,77.2764802
71.0,M.G. Road (Mehrauli – Gurugram Road),Andheria Mor to M.G. Road,['13.07.2021'],1,28.5085988,77.1771193
72.0,M.G. Road (Mehrauli – Gurugram Road),Near Jain Mandir Qutub Minar,['01.09.2021'],1,28.524413,77.1854501
73.0,Mahipalpur Road,Mahipalpur Underpass,['11.09.2021'],1,28.5460788,77.1293232
74.0,Man Singh Road,Towards Akhar Road,['31.08.2021'],1,28.6068133,77.2243737
75.0,Mathura Road,"Bhagwan Dass T-Point, Mathura Road",['28.07.2021'],1,28.5974055,77.2405552
76.0,Mathura Road,Mohan Estate,"['27.07.2021', '21.08.2021']",2,28.5974055,77.2405552
77.0,Mathura Road,Near Matka Peer & Bhagwan Dass Road,['01.09.2021'],1,28.5974055,77.2405552
78.0,Mathura Road,Near ZOO,['01.09.2021'],1,28.5974055,77.2405552
79.0,Mathura Road,Sarita Vihar Underpass,"['21.08.2021', '11.09.2021']",2,28.5974055,77.2405552
80.0,Maulana Azad Road,Infront of Vigyan Bhawan,['31.08.2021'],1,28.6101186,77.2213509
81.0,Minto Bridge Road,--,['21.08.2021'],1,28.6334521,77.2266682
82.0,MM Road,Spinal Injury,['21.08.2021'],1,28.8370807,77.5786753
83.0,Mother Teresa Crescent Marg,"Infront of Gate No. 31, R.P. Bhawan",['02.09.2021'],1,28.6069886,77.1949036
84.0,Mother Teresa Crescent Road,Near 11 Murti,['01.09.2021'],1,28.602922,77.2019172
85.0,Mother Teresa Crescent Road,Near RML Hospital roundabout,['11.09.2021'],1,28.6069886,77.1949036
86.0,Mother Teresa Crescent Road,Near RML U-Turn,['01.09.2021'],1,28.6069886,77.1949036
87.0,Mother Teresa Crescent Road,Near roundabout Teen Murti,['01.09.2021'],1,28.6056148,77.1990695
88.0,Mother Teresa Crescent Road,Redlight Sardar Patel Marg towards Ram Manohar Lohia Hospital,['13.07.2021'],1,28.6080564,77.1891874
89.0,Moti Lal Nehru Marg,Q-Point Moti Lal Nehru Marg,['31.08.2021'],1,28.5774076,77.1608548
